method,tag,n_upd,t_med_ms,t_p95_ms,t_max_ms,miss_pct,lamO2min,lamO2vio,Ist_vio,Ib_vio,Vcm_vio,limits_source,batt_As_end,batt_SOC_check_As,exitflag_min,failed_updates,batt_As_max,Qmax_As,Qmax_over,H2_g,trk_RMSE_W
ddp,iv208_mt13_nonunif5_N200,100,107.65025,121.5045,127.5462,100,1.63402497551036,0,0,0,0,current scenario (physical units),9.62503926330253,3.74368980260442e-09,NaN,NaN,9.62503926330253,12,0,2.24645996968396,67.5242740479914
ddp,iv208_mt13_nonunif5_N50,100,24.32575,32.9653,40.8263,0,1.63402497552679,0,0,0,0,current scenario (physical units),9.625039263175,3.66738284185431e-09,NaN,NaN,9.625039263175,12,0,2.24645996969094,67.5242740474485
ddp,iv208_mt13_unif10_N200,100,127.61475,144.84455,150.0261,100,1.63727392398351,0,0,0,0,current scenario (physical units),9.72228435321285,3.83989728902634e-09,NaN,NaN,9.72228435321285,12,0,2.24583850340783,67.4497012196663
ddp,iv208_mt13_unif10_N50,100,31.1884,37.8967,42.4057,0,1.63727392398326,0,0,0,0,current scenario (physical units),9.72228435321542,3.83732867703657e-09,NaN,NaN,9.72228435321542,12,0,2.24583850340776,67.4497012196729
fmincon,iv208_mt13_unifNp10,100,571.9477,628.93785,687.3691,100,1.63723922771576,0,0,0,0,current scenario (physical units),9.72406498452332,3.76338427088285e-09,1,0,9.72406498452332,12,0,2.24583155394922,7.76800160284657
lowpath,iv208_mt13_wn16_migrated,NaN,NaN,NaN,NaN,NaN,1.98263704492256,0,0,3.38941941500894,0,current scenario (physical units),23.0871923289441,3.72005715121304e-09,NaN,NaN,23.0871923289441,NaN,NaN,2.2765490792185,91.3928397525824
lowpath,iv208_mt13_wn32_migrated,NaN,NaN,NaN,NaN,NaN,1.97769111127844,0,0,3.04768407209357,0,current scenario (physical units),12.5165820883207,3.78215503360479e-09,NaN,NaN,12.5165820883207,NaN,NaN,2.28890752618778,85.806264613411
