Qmax_As,H2_g,qdis_end_As,qdis_max_As,power_rmse_W,power_max_abs_error_W,power_mean_error_W,power_final_error_W,power_poststep_rmse_W,whole_sim_s
72,3.14234449385796,72.0000016202683,72.0000166208847,1016.52204077554,2531.27297091893,-752.69420589801,-1620.94847661124,1311.74358177672,16.8114393
36,3.17458368686188,35.9999999997714,36.0000000012554,1185.34869025866,2531.82446971162,-894.837624258537,-1637.02166712259,1529.64579249202,9.8065647
18,3.18155806436838,18.0000000000007,18.0000000000845,1343.46765803224,2947.83412780273,-1011.01679961256,-1638.23620861021,1733.72310702357,10.3800359
3.6,3.18533937347105,3.6,3.60000000006203,1487.67493513215,4355.00987782038,-1097.8120221508,-1638.45409888199,1919.77832059611,10.8002231
