Demand_W,ClosestFeasible_W,Error_W,VcmIndex,IfcIndex,LambdaO2
23419.767123,23419.7671229073,-9.26957000046968e-08,100,100,2.22001906074792
33419.767123,33422.9394751463,3.17235214629181,119,154,1.80616718497358
43419.767123,43425.1895147521,5.42239175212308,150,229,1.50136834811579
