Method,Status,H2_g,Battery_As,QmaxOvershoot_As,TrackingRMSE_W,LambdaO2Min,LambdaO2Violation,IbMax_A,IbViolation_A,Median_ms,P95_ms,DeadlineMissRate,FailedUpdates
"Low-pass, omega_n=16",benchmark; lambda constraint not enforced,2.94540659444585,60.7712059656167,0,134.86787861472,1.34499888424493,0.155001115755068,207.792845905401,171.792845905401,NaN,NaN,NaN,0
"fmincon uniform N=10",reference; one failed update,2.90997763362962,60.771206,7.105427357601e-15,117.959408336789,1.5,4.44089209850063e-16,36,0,697.0215,2008.49555,1,1
"DDP uniform N=10",near-feasible,2.91916082520085,60.7898360728418,0.0893408665861557,654.100236537012,1.49716791434142,0.00283208565857551,36,0,32.46715,51.22955,0.05,0
"DDP nonuniform N=5 (20 iter)",exploratory; optimization not converged,3.02259028159879,-15.917371746579,0,693.414882503847,1.47664540124008,0.0233545987599153,36,0,9.6711,16.967,0,0
