Qmax_As,H2_g,qdis_end_As,qdis_max_As,power_rmse_W,whole_sim_s
72,3.14234449385796,72.0000016202683,72.0000166208847,1016.52204077554,16.8114393
36,3.17458368686188,35.9999999997714,36.0000000012554,1185.34869025866,9.8065647
18,3.18155806436838,18.0000000000007,18.0000000000845,1343.46765803224,10.3800359
3.6,3.18533937347105,3.6,3.60000000006203,1487.67493513215,10.8002231
